time,Speed_Compact_Winter_Test1,Speed_Compact_Winter_Test2,Speed_Compact_Winter_Test3,Speed_Compact_Winter_Test4,Speed_Compact_Winter_Test5,Speed_Compact_AllSeason_Test1,Speed_Compact_AllSeason_Test2,Speed_Compact_AllSeason_Test3,Speed_Compact_AllSeason_Test4,Speed_Compact_AllSeason_Test5,Speed_Compact_Summer_Test1,Speed_Compact_Summer_Test2,Speed_Compact_Summer_Test3,Speed_Compact_Summer_Test4,Speed_Compact_Summer_Test5,Speed_Sedan_Winter_Test1,Speed_Sedan_Winter_Test2,Speed_Sedan_Winter_Test3,Speed_Sedan_Winter_Test4,Speed_Sedan_Winter_Test5,Speed_Sedan_AllSeason_Test1,Speed_Sedan_AllSeason_Test2,Speed_Sedan_AllSeason_Test3,Speed_Sedan_AllSeason_Test4,Speed_Sedan_AllSeason_Test5,Speed_Sedan_Summer_Test1,Speed_Sedan_Summer_Test2,Speed_Sedan_Summer_Test3,Speed_Sedan_Summer_Test4,Speed_Sedan_Summer_Test5,Speed_SUV_Winter_Test1,Speed_SUV_Winter_Test2,Speed_SUV_Winter_Test3,Speed_SUV_Winter_Test4,Speed_SUV_Winter_Test5,Speed_SUV_AllSeason_Test1,Speed_SUV_AllSeason_Test2,Speed_SUV_AllSeason_Test3,Speed_SUV_AllSeason_Test4,Speed_SUV_AllSeason_Test5,Speed_SUV_Summer_Test1,Speed_SUV_Summer_Test2,Speed_SUV_Summer_Test3,Speed_SUV_Summer_Test4,Speed_SUV_Summer_Test5
0.1,-1.098,-0.065,-0.336,0.074,-0.014,-0.047,0.234,0.949,0.4,-0.778,0.44,-0.225,-0.294,0.195,-0.625,-0.401,-0.096,-0.219,-0.91,-0.747,-0.586,-0.435,-0.201,0.373,0.13,-0.113,-0.099,0.079,0.045,-0.33,0.513,-1.224,0.092,-0.908,0.35,-0.421,-0.487,-0.454,-0.243,0.232,0.65,-0.96,-0.005,0.377,-0.376
0.11,0.098,0.219,-0.885,0.193,-1.002,-0.582,-0.256,-0.456,0.117,0.34,-0.175,0.129,0.202,0.277,-0.443,-0.704,-0.444,-0.987,0.276,-0.45,0.345,-0.701,-0.068,-0.15,-0.867,-1.251,-1.339,NaN,-0.036,0.423,-0.75,0.108,0.098,1.094,-0.718,-0.775,-0.134,0.537,0.527,-0.158,0.165,-0.363,-0.176,0.31,-1.495
0.12,0.909,-0.679,-0.369,0.822,0.945,0.081,-0.386,-1.348,-1.551,0.275,0.333,-0.322,-1.075,-0.126,0.053,-0.237,0.031,-1.511,-0.225,0.902,0.314,-0.212,-0.418,-1.59,-0.261,0.001,-0.399,0.093,-0.788,0.776,-0.777,-0.369,-0.461,0.471,-0.006,-0.129,-0.427,0.806,0.445,-0.891,0.585,0.524,-0.406,0.023,-0.28
0.13,0.391,-0.317,-1.612,-0.296,-1.357,-0.045,0.442,0.96,0.248,0.977,0.587,0.306,0.233,-0.359,-0.501,-0.663,-0.464,0.543,-0.324,-0.48,0.999,0.352,-0.759,0.092,-1.222,0.418,-0.417,-0.587,-0.855,NaN,-0.392,-0.389,0.385,-0.112,-0.133,0.03,-1.139,-0.357,1.005,0.196,0.256,-0.485,-0.171,-0.1,0.063
0.14,0.209,-0.143,-1.218,0.021,-0.772,-0.092,-0.177,0.112,-1.417,0.016,-0.438,-0.034,-0.694,1.066,0.376,-0.289,-0.356,-0.243,0.294,-0.189,0.151,0.464,-0.33,-0.702,-0.237,-0.111,0.335,0.962,-0.844,0.395,0.195,1.165,0.312,-1.046,-0.397,0.335,0.034,1.322,0.111,-1.573,0.234,-1.116,-0.453,0.142,-0.063
0.15,0.072,-0.227,-0.153,-1.001,0.315,0.174,-0.302,0.221,-0.513,-0.029,0.028,0.348,-0.432,-1,-1.004,0.736,0.415,0.458,0.19,-0.261,-1.26,-0.177,-0.097,-0.974,0.363,-0.508,0.04,NaN,0.8,0.448,0.266,-0.524,0.921,-0.232,0.264,0.154,0.152,-0.087,1.06,-0.286,-0.742,1.063,0.3,-0.529,0.131
0.16,-0.092,-1.212,-0.309,0.27,0.893,-0.185,0.478,-0.235,-0.594,-0.271,0.004,-0.28,-1.276,0.308,-0.948,0.226,-1.32,-0.235,0.734,0.2,0.269,0.208,0.073,-0.222,-0.658,0.701,-0.057,-1.057,0.103,-0.855,-0.487,-0.226,0.34,0.624,0.241,0.096,0.752,-0.095,0.086,0.477,-0.699,-0.265,-0.663,-0.118,0.368
0.17,-0.154,-0.268,-0.007,0.501,-0.183,0.17,0.268,-0.366,0.069,NaN,0.364,0.314,NaN,0.466,0.409,-0.35,-0.498,-0.878,-0.179,-0.377,-0.917,0.125,-0.456,-0.31,-0.21,-0.572,-0.213,0.385,-0.798,-0.255,0.52,-0.211,0.011,-0.921,0.017,0.391,-0.382,-0.347,-0.072,0.441,0.502,-0.235,0.347,-0.347,0.23
0.18,-0.096,0.55,0.977,NaN,0.196,0.469,0.781,0.569,0.101,0.027,-0.86,-0.615,0.427,-0.259,-0.837,-0.022,0.206,-0.264,0.207,-0.964,-0.025,-0.432,-0.025,-0.149,0.448,0.046,0.575,0.003,-0.006,0.514,-1.048,0.003,-0.698,0.002,0.54,0.087,0.799,-0.906,0.434,-0.435,0.214,0.361,0.62,-0.76,0.192
0.19,0.55,0.389,0.7,-0.729,-0.588,-0.192,NaN,-0.452,-1.063,0.992,0.3,NaN,-0.157,-0.86,0.583,0.708,0.045,-0.121,-0.359,-1.004,0.17,0.435,-0.763,-0.067,1.251,-0.735,-0.714,-1.061,0.762,-0.044,0.39,0.706,-0.338,-0.111,-0.541,0,-0.857,0.032,0.37,-0.663,0.963,-0.301,0.259,-0.037,0.469
0.2,-0.233,-0.259,0.343,-1.173,0.516,0.328,0.442,0.432,0.8,-0.033,-0.047,-0.042,-0.565,0.345,-0.012,-0.546,-0.702,-0.211,-0.543,-0.034,-1.374,-1.403,-1.577,-1.112,0.03,0.046,-0.882,0.035,-0.982,-1.006,-1.418,0.002,0.841,0.035,-0.438,0.935,NaN,0.552,0.881,-0.117,0.542,0.389,-0.599,0.228,-1.068
0.21,0.089,0.854,-1.199,0.727,0.442,-0.405,0.539,0.802,0.234,0.314,0.288,NaN,0.337,-0.62,-1.299,-0.038,0.817,-0.352,-0.038,0.634,-1.219,-0.245,-0.286,0.113,0.9,-0.555,0.489,0.347,-0.657,0.168,-0.747,0.749,0.993,0.231,-0.417,0.111,0.161,-0.093,NaN,0.534,-0.127,NaN,-1.486,-0.067,0.88
0.22,NaN,-0.097,-0.542,-0.246,NaN,-0.727,-0.112,0.198,-0.373,1.077,0.33,0.755,1.185,-0.717,0.179,0.434,-1.185,-0.008,-1.034,0.323,-0.714,0.887,0.497,0.507,-1.181,-0.389,0.369,-0.019,-0.019,-0.997,0.407,0.305,-0.145,0.827,-0.89,0.476,0.022,0.119,-0.152,0.273,-0.677,-0.48,-1.924,NaN,1.495
0.23,0.025,-0.06,0.902,-0.423,0.026,-0.08,0.755,-0.435,-0.18,0.555,-0.069,-0.297,-0.362,-0.816,0.853,-0.003,0.653,-0.142,-0.948,0.37,-0.902,-1.375,-0.568,0.02,0.337,-0.232,0.26,-0.257,0.277,0.229,-0.19,0.198,-0.362,-0.406,0.055,-0.087,0.015,0.645,-0.402,-0.403,-1.232,0.02,0.102,0.253,-0.967
0.24,-0.378,1.236,0.122,-0.152,0.055,-0.112,-0.798,0.115,-0.816,-0.03,-0.83,-1.256,-0.345,0.93,0.162,-0.385,0.749,1.074,0.611,-0.251,0.64,0.649,-0.136,-1.132,0.311,-0.373,-0.692,-0.396,0.249,-0.398,0.262,-0.439,-0.287,-1.021,-0.765,1.148,-0.505,NaN,-0.241,-0.082,0.146,-0.288,0.21,0.713,0.494
0.25,0.875,0.074,-0.652,-0.109,-0.346,-0.216,0.143,0.203,-0.095,-0.522,-0.786,-1.57,-0.555,0.023,-0.178,-0.314,-0.206,0.091,0.36,-0.268,0.764,-0.085,-0.949,-0.144,0.228,-1.315,-0.109,0.298,-0.929,0.63,0.273,-0.776,-0.093,0.426,-0.15,0.159,-1.365,0.132,0.198,0.167,-0.279,0.016,0.853,0.439,0.359
0.26,0.291,0.538,0.223,0.079,-0.932,-0.351,NaN,-0.715,-0.047,-0.406,-0.133,0.671,1.084,-0.87,-1.239,-0.668,-0.414,-0.445,0.292,0.346,-0.009,-0.161,0.428,-0.138,-0.881,0.601,-0.486,-0.238,0.319,-0.346,0.476,0.577,0.237,0.292,0.875,-0.453,0.455,-1.024,-0.329,-0.895,0.387,0.449,0.19,-0.325,0.237
0.27,0.022,0.535,-0.013,-0.743,-0.674,-0.547,-1.21,0.149,-0.819,-0.338,-1.144,0.609,-0.284,1.07,0.073,-0.962,0.408,0.911,-0.99,-0.728,-0.055,-1.008,-0.09,-0.822,-0.052,0.358,0.058,-0.563,0.368,-0.787,0.471,-0.453,0.607,-0.442,-1.093,-0.104,0.519,0.606,0.219,0.253,0.485,-0.824,-0.726,0.8,-0.055
0.28,-0.559,-0.735,-0.933,0.198,0.613,0.273,-1.099,-0.174,-0.593,-0.15,1.001,-0.329,0.426,0.264,-0.608,-0.989,0.254,-0.791,NaN,0.229,0.439,0.436,0.149,0.993,-1.28,0.688,-0.248,0.305,0.12,0.137,-0.121,-1.32,-0.021,-0.294,0.153,-0.335,-0.34,-0.272,0.45,0.272,0.295,-0.072,-0.669,0.595,0.491
0.29,-0.039,-0.383,0.317,0.795,-0.232,0.278,-1.128,-0.339,0.023,0.446,-0.1,-0.277,1.053,-0.834,-1.211,-1.198,0.522,-0.031,0.741,0.248,0.705,NaN,0.603,0.418,0.912,-1.056,-0.122,-0.496,0.489,-0.198,0.477,0.798,-0.422,0.529,-0.858,0.607,0.238,-0.503,-1.369,-1.115,-0.578,-0.562,0.398,0.339,-0.706
0.3,-1.341,0.086,-0.347,-0.073,0.107,-0.211,-0.601,-0.323,0.054,0.684,0.067,0.605,0.457,0.317,-1.22,0.153,0.602,-0.174,-0.358,-0.285,-0.537,0.453,0.203,-0.304,-0.719,0.167,-0.017,0.203,-0.379,-0.945,0.335,-0.156,0.8,-0.733,0.612,-1.396,-0.358,-0.262,0.039,-0.992,0.733,-1.067,0.728,-0.236,-0.464
0.31,-0.569,-0.103,-0.052,0.653,0.108,-1.294,-0.874,0.113,-0.027,-0.714,-0.349,0.087,-0.78,-1.129,0.531,-0.111,0.401,0.177,-0.334,0.591,0.125,-0.882,0.41,-1.056,-1.298,0.286,-1.201,-0.931,0.339,0.499,-0.127,-0.753,0.371,-0.322,-0.826,-0.61,-1.033,-0.655,-0.894,-0.239,-0.742,0.892,0.026,-0.066,-0.738
0.32,0.128,0.081,-0.12,0.191,-0.102,0.836,-0.555,0.422,0.605,0.393,-0.9,-0.657,0.086,-0.467,0.524,0.828,0.228,-0.153,0.782,0.251,-1.124,1.198,-0.793,-0.428,-0.17,0.018,-0.516,-1.304,1.236,-0.804,-0.534,0.078,0.225,-0.201,0.147,-0.332,NaN,0.303,-0.51,-0.579,0.602,0.161,-0.415,0.232,0.377
0.33,-0.537,-0.725,-0.393,0.492,-0.081,-0.305,-0.16,0.058,1.093,-0.01,-0.402,-0.288,0.039,NaN,-0.106,0.75,0.398,0.911,0.209,-1.256,-0.794,-0.697,0.181,-0.024,0.353,0.663,0.262,0.056,0.536,0.03,0.118,-0.442,0.1,-0.429,-0.343,-0.484,0.541,-0.304,-0.822,-0.643,-1.617,-0.526,-0.492,NaN,0.523
0.34,-0.711,0.286,-1.521,-0.797,0.127,-0.288,-0.003,-0.084,0.443,-0.308,-0.088,0.963,0.701,-0.067,-0.727,-1.63,-1.505,-1.034,1.088,NaN,-0.831,-0.705,-1.3,0.644,0.105,-1.024,0.082,-0.23,0.559,-0.088,0.22,-0.459,-0.032,-0.589,-0.199,0.604,-0.489,-0.603,0.441,0.084,-0.787,-0.717,0.247,0.8,0.314
0.35,-0.021,-0.066,0.516,0.201,-0.14,-0.445,-0.141,0.219,-0.074,-0.825,0.341,-1.638,-1.081,-1.308,0.553,0.438,-0.546,-0.57,0.571,0.063,-0.266,0.277,-0.622,0.575,-0.65,0.202,-1.215,0.87,-1.002,-1.319,-0.796,NaN,0.338,0.391,-1.462,-1.19,0.892,-0.128,-0.485,0.582,0.241,0.372,-0.23,NaN,-0.824
0.36,0.704,0.356,-0.703,0.297,-0.259,0.951,0.548,0.336,-0.25,0.221,-0.041,-0.141,0.42,-0.086,-0.693,-0.032,-0.479,0.275,0.509,-0.132,0.642,-0.414,0.141,0.859,-0.711,-0.009,0.366,0.557,0.594,-0.446,-0.06,-0.619,0.245,0.343,-1.2,-0.406,-0.347,-0.751,-0.308,0.348,0.52,0.157,-0.815,0.087,-0.486
0.37,1.125,-0.072,-0.722,-0.635,0.959,-0.215,-1.284,-0.455,0.733,0.091,-0.161,-0.709,-0.237,0.563,-1.085,-0.366,-0.273,0.402,1.237,-0.06,-0.614,0.119,0.367,0.972,-0.601,0.927,-0.105,-0.021,-0.276,1.012,0.83,-0.052,-0.305,0.204,0.158,-0.016,-0.234,0.153,-0.578,-0.344,-0.393,1.091,0.836,-0.376,-0.109
0.38,0.141,-0.027,-0.124,-0.401,-0.373,0.37,0.45,0.446,-0.228,0.301,0.142,-0.845,0.155,0.174,-0.125,0.118,-0.243,0.088,0.227,-0.938,0.11,-1.406,-1.302,-0.148,-0.427,-0.143,0.264,-0.662,0.398,0.722,0.255,0.533,-0.321,0.098,-0.022,-0.369,-1.319,1.173,0.097,0.846,0.804,-1.175,0.566,0.396,-0.534
0.39,-0.705,-0.836,0.283,-0.12,-0.163,1.184,-1.348,-0.383,-0.18,-0.4,-0.611,0.952,-0.182,-0.238,0.735,0.231,0.415,-0.052,0.417,-0.06,-0.167,0.551,-0.146,0.296,0.089,-1.236,0.631,-0.509,0.177,0.472,-0.272,-0.47,0.284,-0.331,0.586,-0.301,0.495,0.025,0.547,-0.013,0.143,0.375,0.216,-0.433,0.208
0.4,0.465,-0.225,-0.148,1.099,0.587,0.104,-0.635,0.173,-0.1,NaN,-1.199,-1.087,0.147,0.516,-0.322,-0.36,-0.353,0.166,0.294,-0.223,-0.096,-0.459,-0.755,0.849,0.619,-0.344,-0.012,-0.514,-0.335,-0.759,0.62,-0.061,-0.119,-0.482,-0.839,-0.889,-0.081,NaN,-1.857,0.044,-0.307,0.202,0.903,0.693,0.487
0.41,-0.408,0.007,-0.76,-0.669,-0.721,0.316,-0.201,-0.46,-0.851,-1.02,-0.682,-0.462,-0.101,-0.48,0.607,-0.325,-0.269,-1.493,-0.371,-0.847,0.107,0.457,0.014,-0.832,0.52,-0.175,-0.915,-0.058,1.054,0.448,-0.888,0.016,0.298,0.965,0.983,0.094,0.185,-0.281,0.24,0.039,0.976,-0.228,-0.757,-0.453,-0.437
0.42,0.884,-0.118,-0.233,0.156,0.657,-0.386,0.245,-0.359,0.395,0.176,-0.562,-1.141,0.889,-0.61,0.355,-0.666,0.798,-0.223,0.32,-0.053,0.014,-0.398,0.041,-0.711,-0.043,-0.346,-0.983,-0.392,-0.51,0.367,-0.497,-0.764,0.24,-0.533,-0.003,-0.898,-0.634,-0.923,-1.131,-0.82,0.11,0.006,0.426,-1.145,0.335
0.43,0.386,-0.735,-0.273,0.59,-0.614,-0.723,0.266,-0.081,-0.095,0.002,-0.331,-1.109,0.021,-1.053,1.133,0.131,0.515,-0.015,-0.782,0.802,-0.255,0.577,-0.392,0.095,-0.578,-0.312,-0.018,-0.353,0.469,-0.079,0.209,0.272,-1.03,0.812,-0.453,0.281,0.07,0.003,-1.991,-1.094,0.29,-0.518,-0.104,0.723,1.305
0.44,1.102,-0.827,0.56,-0.26,0.601,0.434,-1.389,0.38,-0.923,-1.762,1.418,-0.782,0.208,0.007,-0.723,-0.143,0.571,-1.184,1.046,-0.126,-0.386,0.306,0.133,-1.604,-0.271,0.61,-0.091,-0.032,-0.333,-0.204,0.247,-0.636,-1.424,0.813,0.889,-0.223,0.293,0.205,0.567,0.228,0.221,0.488,-0.118,0.112,0.42
0.45,-1.023,-0.595,0.083,-0.23,-0.621,0.967,1.009,1.174,-0.052,-1.534,-0.842,0.192,0.09,-0.022,0.569,-0.331,0.603,0.252,0.029,-0.371,-0.853,0.035,0.688,0.137,-0.638,0.79,0.912,0.129,0.296,-0.21,-0.864,0.226,-0.019,-0.735,-0.264,-0.477,0.643,NaN,-0.615,-0.622,-0.57,-1.218,0.133,0.009,1.241
0.46,-0.087,-1.119,0.067,-0.358,-0.414,-1.295,-0.941,-0.312,-0.964,0.465,0.005,0.052,-0.457,-0.295,0.783,-0.189,-1.652,NaN,-0.148,0.183,0.911,-0.065,-1.09,0.405,-1.348,-0.772,-0.305,-0.234,0.423,-0.023,0.434,-0.018,-0.078,-0.47,-0.579,0.065,-0.266,-0.287,-0.378,-0.071,-0.241,-1.544,0.276,-1.154,0.704
0.47,0.17,0.397,-0.21,0.028,-0.322,0.032,NaN,0.18,-0.238,-0.525,-0.879,-0.326,-0.846,0.639,0.912,-0.077,0.605,-0.133,NaN,0.153,-0.163,-0.071,0.407,-0.027,-1.142,-1.204,-0.766,-0.854,-0.434,NaN,-0.961,-0.162,0.094,-1.337,NaN,-0.249,-0.866,0.344,0.683,0.28,-0.632,-1.207,0.122,0.58,-1.07
0.48,0.013,-0.687,-0.162,0.116,-0.651,-0.888,-0.005,0.003,-0.194,0.028,-0.845,-0.911,-0.55,0.47,-0.49,-0.402,-0.41,0.25,-1.213,0.908,0.509,-0.207,-0.226,-0.782,0.686,-0.302,-1.268,0.327,0.51,-0.669,0.302,0.679,0.229,NaN,NaN,0.131,-0.365,-0.23,-0.851,-0.344,0.043,-0.835,-0.939,0.017,0.013
0.49,-0.116,-0.632,0.007,-1.296,0.28,-0.125,-2.028,-0.433,-1.453,0.198,0.063,-0.105,-0.159,-0.062,0.176,1.061,0.239,-0.072,-0.733,-0.398,-0.069,-0.935,-0.776,-1.078,-0.815,-1.077,-1.233,-0.513,-0.162,0.821,0.355,-1.152,-0.73,1.117,-0.301,-0.039,-0.271,-0.04,0.537,-0.288,-0.028,-0.147,-0.596,-0.306,-0.21
0.5,-0.764,-0.906,-0.776,0.232,0.857,-0.264,-0.014,0.114,0.637,-1.02,0.148,-1.141,0.776,0.432,-0.886,-0.247,-0.492,0.017,0.62,-0.069,0.354,0.162,0.456,0.001,-0.162,-0.103,-0.75,0.435,-0.109,-0.673,-0.866,-0.271,-0.043,0.102,-0.148,0.73,0.386,-0.765,0.546,0.624,-0.154,0.407,-0.175,-0.17,-0.404
0.51,0.005,-0.502,-0.65,-0.134,0.187,0.35,-0.015,-0.933,-0.602,0.115,-0.008,-0.621,0.317,-1.39,0.142,0.311,-0.177,-0.218,-0.029,0.402,-0.757,0.082,-0.738,NaN,0.055,-0.658,0.658,-0.56,0.577,0.197,-0.734,0.66,-0.183,-0.559,-0.76,1.291,-0.568,-0.456,-0.186,-0.976,0.083,0.078,-0.709,-0.875,0.632
0.52,-0.271,-0.612,-0.424,0.172,0.118,-0.622,0.031,0.427,0.343,-0.422,0.21,-1.037,0.231,-0.259,-0.577,-0.037,-0.177,-0.767,-1.017,0.339,-0.034,-0.049,-0.672,1.219,0.49,0.488,-1.212,0.194,0.434,1.079,-1.197,0.68,1.126,-0.816,0.949,0.501,0.407,-0.149,-0.546,0.003,NaN,-0.571,0.139,-0.872,-1.267
0.53,-1.182,0.076,-0.288,-0.168,0.837,-0.361,-0.055,0.389,0.334,0.053,-0.405,NaN,0.395,-0.37,0.542,-1.238,-0.997,-0.365,-0.652,-0.127,0.788,0.126,0.013,0.688,0.573,0.471,0.116,0.643,-1.262,-0.756,-0.214,-0.199,-0.796,0.4,0.222,0.107,-0.137,0.273,0.059,-0.364,-1.158,-0.462,-1.209,-0.299,-0.257
0.54,-0.401,0.876,-0.235,-0.97,NaN,-0.006,0.563,-0.498,0.006,-0.223,0.78,0.299,0.393,-0.068,0.267,0.819,0.458,-0.092,-0.713,-0.077,-0.191,0.111,0.578,1.237,0.586,-0.499,-0.497,-0.12,0.353,0.231,-0.518,-0.823,-0.243,NaN,0.291,-0.689,-0.652,-0.069,-0.104,0.345,1.072,-0.248,-0.613,-1.189,0.057
0.55,1.169,-1.334,-0.245,-0.492,-0.438,-1.155,-0.728,0.212,0.351,-0.391,-0.062,-1.443,-1.128,0.005,0.213,-0.902,-0.78,0.245,0.417,-0.309,0.026,-0.104,0.21,-0.097,0.132,-0.626,-0.113,-0.954,1.018,0.75,-0.355,0.035,0.78,0.034,0.514,0.816,0.152,0.906,-0.581,-0.175,1.136,0.246,-0.416,0.126,-0.152
0.56,0.116,0.516,-0.272,-0.941,0.387,0.193,0.13,0.065,0.245,0.376,-0.369,0.2,0.778,-1.115,-0.14,0.459,0.074,0.102,-1.469,0.224,-0.743,0.949,-0.146,0.313,-0.11,0.206,0.614,-0.028,-0.204,-0.975,-0.249,-0.158,-0.921,-1.69,NaN,0.231,-0.099,0.297,-0.174,0.11,-0.96,0.109,0.413,0.328,-1.158
0.57,-1.03,0.311,-0.053,-0.226,0.601,0.546,-0.034,0.097,0.205,0.434,-0.77,0.129,-0.663,0.486,-0.941,-0.468,1.293,0.094,0.13,NaN,0.036,-0.077,-0.8,0.208,-0.102,-0.241,1.006,-0.407,-0.603,0.294,-0.368,-0.758,-0.722,0.062,-0.093,-0.949,-0.542,0.071,-1.419,-1.166,-0.348,0.379,-0.773,-0.037,0.078
0.58,0.611,0.572,-1.017,-0.596,-0.022,0.245,0.836,NaN,0.177,-0.447,-0.977,0.02,-0.246,-0.256,0.635,-0.397,-0.31,0.413,-0.079,-0.517,-0.87,-0.019,-0.369,-0.349,-0.019,-1.133,-0.682,-0.459,0.136,-1.122,-0.352,-0.259,-0.34,0.036,-1.202,-0.266,-0.567,0.769,-0.51,-0.48,-0.484,-0.227,-0.258,NaN,0.85
